# Resultados Derivación Numérica
Tiempo	 Posición	 Velocidad	 Error_velocidad	 Aceleración	 Error_aceleración 
0.00000000	 0.00000000	 0.00839329	 0.00839329	 0.34916059	 0.35083941
0.02400000	 0.00020144	 0.01677315	 0.00000671	 0.52329991	 0.17552648
0.04800000	 0.00080511	 0.03351169	 0.00000780	 0.69868837	 0.00103080
0.07200000	 0.00181000	 0.05031019	 0.00009119	 0.69506901	 0.00142447
0.09600000	 0.00322000	 0.06687500	 0.00000347	 0.68798220	 0.00735192
0.12000000	 0.00502000	 0.08333333	 0.00016468	 0.69010417	 0.00407531
0.14400000	 0.00722000	 0.10000000	 0.00007771	 0.69444444	 0.00141495
0.16800000	 0.00982000	 0.11666667	 0.00004900	 0.69010417	 0.00178001
0.19200000	 0.01282000	 0.13312500	 0.00000702	 0.68576389	 0.00497960
0.21600000	 0.01621000	 0.14958333	 0.00000460	 0.68576389	 0.00384352
0.24000000	 0.02000000	 0.16604167	 0.00004163	 0.68142361	 0.00705230
0.26400000	 0.02418000	 0.18229167	 0.00009030	 0.68142361	 0.00592537
0.28800000	 0.02875000	 0.19875000	 0.00002537	 0.68142361	 0.00480297
0.31200000	 0.03372000	 0.21500000	 0.00002812	 0.67708333	 0.00802537
0.33600000	 0.03907000	 0.23125000	 0.00004253	 0.68142361	 0.00257171
0.36000000	 0.04482000	 0.24770833	 0.00019039	 0.67708333	 0.00580308
0.38400000	 0.05096000	 0.26375000	 0.00004553	 0.66840278	 0.01337917
0.40800000	 0.05748000	 0.27979167	 0.00006053	 0.66840278	 0.01227914
0.43200000	 0.06439000	 0.29583333	 0.00012788	 0.67274306	 0.00684323
0.45600000	 0.07168000	 0.31208333	 0.00005172	 0.67274306	 0.00575199
0.48000000	 0.07937000	 0.32812500	 0.00006151	 0.66406250	 0.01334566
0.50400000	 0.08743000	 0.34395833	 0.00009860	 0.66406250	 0.01226312
0.52800000	 0.09588000	 0.36000000	 0.00001205	 0.66406250	 0.01118489
0.55200000	 0.10471000	 0.37583333	 0.00009558	 0.66406250	 0.01011096
0.57600000	 0.11392000	 0.39187500	 0.00006738	 0.66406250	 0.00904131
0.60000000	 0.12352000	 0.40770833	 0.00006007	 0.65538194	 0.01665647
0.62400000	 0.13349000	 0.42333333	 0.00011760	 0.65538194	 0.01559531
0.64800000	 0.14384000	 0.43916667	 0.00004906	 0.65972222	 0.01019809
0.67200000	 0.15457000	 0.45500000	 0.00005727	 0.65538194	 0.01348561
0.69600000	 0.16568000	 0.47062500	 0.00000704	 0.65104167	 0.01677730
0.72000000	 0.17716000	 0.48625000	 0.00003373	 0.65104167	 0.01573287
0.74400000	 0.18902000	 0.50187500	 0.00002290	 0.65104167	 0.01469257
0.76800000	 0.20125000	 0.51750000	 0.00002535	 0.65104167	 0.01365638
0.79200000	 0.21386000	 0.53312500	 0.00011094	 0.64670139	 0.01696456
0.81600000	 0.22684000	 0.54854167	 0.00002546	 0.64236111	 0.02027681
0.84000000	 0.24019000	 0.56395833	 0.00002287	 0.64236111	 0.01925283
0.86400000	 0.25391000	 0.57937500	 0.00003413	 0.64236111	 0.01823288
0.88800000	 0.26800000	 0.59479167	 0.00000841	 0.64236111	 0.01721695
