# MÉTODO SIMPSON 1/3
n	 Integral	    Error absoluto
2    0.16240168    0.00179889
4    0.16072248    0.00011968
6    0.16062671    0.00002392
8    0.16061039    0.00000760
10    0.16060591    0.00000312
12    0.16060430    0.00000151
14    0.16060361    0.00000081
16    0.16060327    0.00000048
18    0.16060309    0.00000030
20    0.16060299    0.00000020
22    0.16060293    0.00000013
24    0.16060289    0.00000009
26    0.16060286    0.00000007
28    0.16060285    0.00000005
30    0.16060283    0.00000004
