# MÉTODO TRAPECIO
n	 Integral	    Error absoluto
1    0.18393972    0.02333693
2    0.16778619    0.00718340
3    0.16391323    0.00331044
4    0.16248841    0.00188561
5    0.16181658    0.00121378
6    0.16144834    0.00084555
7    0.16122519    0.00062239
8    0.16107990    0.00047710
9    0.16098008    0.00037729
10    0.16090858    0.00030578
11    0.16085562    0.00025283
12    0.16081531    0.00021252
13    0.16078392    0.00018113
14    0.16075900    0.00015621
15    0.16073889    0.00013610
16    0.16072243    0.00011963
17    0.16070878    0.00010598
18    0.16069734    0.00009454
19    0.16068766    0.00008486
20    0.16067939    0.00007659
21    0.16067227    0.00006948
22    0.16066610    0.00006331
23    0.16066072    0.00005792
24    0.16065599    0.00005320
25    0.16065182    0.00004903
26    0.16064813    0.00004533
27    0.16064483    0.00004204
28    0.16064188    0.00003909
29    0.16063924    0.00003644
30    0.16063685    0.00003405
31    0.16063469    0.00003189
32    0.16063272    0.00002993
33    0.16063094    0.00002814
34    0.16062931    0.00002651
35    0.16062781    0.00002502
36    0.16062644    0.00002365
37    0.16062518    0.00002239
38    0.16062402    0.00002123
39    0.16062295    0.00002015
40    0.16062195    0.00001916
41    0.16062103    0.00001823
42    0.16062017    0.00001738
43    0.16061937    0.00001658
44    0.16061863    0.00001583
45    0.16061793    0.00001514
46    0.16061728    0.00001449
47    0.16061667    0.00001388
48    0.16061610    0.00001330
49    0.16061556    0.00001277
50    0.16061506    0.00001226
51    0.16061458    0.00001179
52    0.16061413    0.00001134
53    0.16061371    0.00001091
54    0.16061331    0.00001051
55    0.16061293    0.00001013
56    0.16061257    0.00000978
57    0.16061223    0.00000944
58    0.16061191    0.00000911
59    0.16061160    0.00000881
60    0.16061131    0.00000852
61    0.16061103    0.00000824
62    0.16061077    0.00000797
63    0.16061052    0.00000772
64    0.16061028    0.00000748
65    0.16061005    0.00000726
66    0.16060983    0.00000704
67    0.16060962    0.00000683
68    0.16060942    0.00000663
69    0.16060923    0.00000644
70    0.16060905    0.00000626
71    0.16060888    0.00000608
72    0.16060871    0.00000591
73    0.16060855    0.00000575
74    0.16060839    0.00000560
75    0.16060824    0.00000545
76    0.16060810    0.00000531
77    0.16060796    0.00000517
78    0.16060783    0.00000504
79    0.16060771    0.00000491
80    0.16060758    0.00000479
81    0.16060747    0.00000467
82    0.16060735    0.00000456
83    0.16060724    0.00000445
84    0.16060714    0.00000434
85    0.16060704    0.00000424
86    0.16060694    0.00000415
87    0.16060684    0.00000405
88    0.16060675    0.00000396
89    0.16060666    0.00000387
90    0.16060658    0.00000378
91    0.16060650    0.00000370
92    0.16060642    0.00000362
93    0.16060634    0.00000354
94    0.16060626    0.00000347
95    0.16060619    0.00000340
96    0.16060612    0.00000333
97    0.16060605    0.00000326
98    0.16060599    0.00000319
99    0.16060592    0.00000313
100    0.16060586    0.00000307
101    0.16060580    0.00000301
102    0.16060574    0.00000295
103    0.16060568    0.00000289
104    0.16060563    0.00000283
105    0.16060557    0.00000278
106    0.16060552    0.00000273
107    0.16060547    0.00000268
108    0.16060542    0.00000263
109    0.16060537    0.00000258
110    0.16060533    0.00000253
111    0.16060528    0.00000249
112    0.16060524    0.00000244
113    0.16060519    0.00000240
114    0.16060515    0.00000236
115    0.16060511    0.00000232
116    0.16060507    0.00000228
117    0.16060503    0.00000224
118    0.16060500    0.00000220
119    0.16060496    0.00000216
120    0.16060492    0.00000213
121    0.16060489    0.00000209
122    0.16060485    0.00000206
123    0.16060482    0.00000203
124    0.16060479    0.00000199
125    0.16060476    0.00000196
126    0.16060473    0.00000193
127    0.16060469    0.00000190
128    0.16060467    0.00000187
129    0.16060464    0.00000184
130    0.16060461    0.00000181
131    0.16060458    0.00000179
132    0.16060455    0.00000176
133    0.16060453    0.00000173
134    0.16060450    0.00000171
135    0.16060448    0.00000168
136    0.16060445    0.00000166
137    0.16060443    0.00000163
138    0.16060440    0.00000161
139    0.16060438    0.00000159
140    0.16060436    0.00000156
141    0.16060434    0.00000154
142    0.16060431    0.00000152
143    0.16060429    0.00000150
144    0.16060427    0.00000148
145    0.16060425    0.00000146
146    0.16060423    0.00000144
147    0.16060421    0.00000142
148    0.16060419    0.00000140
149    0.16060417    0.00000138
150    0.16060416    0.00000136
151    0.16060414    0.00000134
152    0.16060412    0.00000133
153    0.16060410    0.00000131
154    0.16060409    0.00000129
155    0.16060407    0.00000128
156    0.16060405    0.00000126
157    0.16060404    0.00000124
158    0.16060402    0.00000123
159    0.16060401    0.00000121
160    0.16060399    0.00000120
161    0.16060398    0.00000118
162    0.16060396    0.00000117
163    0.16060395    0.00000115
164    0.16060393    0.00000114
165    0.16060392    0.00000113
166    0.16060391    0.00000111
167    0.16060389    0.00000110
168    0.16060388    0.00000109
169    0.16060387    0.00000107
170    0.16060385    0.00000106
171    0.16060384    0.00000105
172    0.16060383    0.00000104
173    0.16060382    0.00000102
174    0.16060381    0.00000101
175    0.16060380    0.00000100
176    0.16060378    0.00000099
177    0.16060377    0.00000098
178    0.16060376    0.00000097
179    0.16060375    0.00000096
180    0.16060374    0.00000095
181    0.16060373    0.00000094
182    0.16060372    0.00000093
183    0.16060371    0.00000092
184    0.16060370    0.00000091
185    0.16060369    0.00000090
186    0.16060368    0.00000089
187    0.16060367    0.00000088
188    0.16060366    0.00000087
189    0.16060365    0.00000086
190    0.16060364    0.00000085
191    0.16060363    0.00000084
192    0.16060363    0.00000083
193    0.16060362    0.00000082
194    0.16060361    0.00000081
195    0.16060360    0.00000081
196    0.16060359    0.00000080
197    0.16060358    0.00000079
198    0.16060358    0.00000078
199    0.16060357    0.00000077
200    0.16060356    0.00000077
201    0.16060355    0.00000076
202    0.16060355    0.00000075
203    0.16060354    0.00000074
204    0.16060353    0.00000074
205    0.16060352    0.00000073
206    0.16060352    0.00000072
207    0.16060351    0.00000072
208    0.16060350    0.00000071
209    0.16060350    0.00000070
210    0.16060349    0.00000070
211    0.16060348    0.00000069
212    0.16060348    0.00000068
213    0.16060347    0.00000068
214    0.16060346    0.00000067
215    0.16060346    0.00000066
216    0.16060345    0.00000066
217    0.16060345    0.00000065
218    0.16060344    0.00000065
219    0.16060343    0.00000064
220    0.16060343    0.00000063
221    0.16060342    0.00000063
222    0.16060342    0.00000062
223    0.16060341    0.00000062
224    0.16060341    0.00000061
225    0.16060340    0.00000061
226    0.16060339    0.00000060
227    0.16060339    0.00000060
228    0.16060338    0.00000059
229    0.16060338    0.00000058
230    0.16060337    0.00000058
231    0.16060337    0.00000057
232    0.16060336    0.00000057
233    0.16060336    0.00000056
234    0.16060335    0.00000056
235    0.16060335    0.00000056
236    0.16060334    0.00000055
237    0.16060334    0.00000055
238    0.16060334    0.00000054
239    0.16060333    0.00000054
240    0.16060333    0.00000053
241    0.16060332    0.00000053
242    0.16060332    0.00000052
243    0.16060331    0.00000052
244    0.16060331    0.00000052
245    0.16060330    0.00000051
246    0.16060330    0.00000051
247    0.16060330    0.00000050
248    0.16060329    0.00000050
249    0.16060329    0.00000049
250    0.16060328    0.00000049
251    0.16060328    0.00000049
252    0.16060328    0.00000048
253    0.16060327    0.00000048
254    0.16060327    0.00000048
255    0.16060327    0.00000047
256    0.16060326    0.00000047
257    0.16060326    0.00000046
258    0.16060325    0.00000046
259    0.16060325    0.00000046
260    0.16060325    0.00000045
261    0.16060324    0.00000045
262    0.16060324    0.00000045
263    0.16060324    0.00000044
264    0.16060323    0.00000044
265    0.16060323    0.00000044
266    0.16060323    0.00000043
267    0.16060322    0.00000043
268    0.16060322    0.00000043
269    0.16060322    0.00000042
270    0.16060321    0.00000042
271    0.16060321    0.00000042
272    0.16060321    0.00000041
273    0.16060321    0.00000041
274    0.16060320    0.00000041
275    0.16060320    0.00000041
276    0.16060320    0.00000040
277    0.16060319    0.00000040
278    0.16060319    0.00000040
279    0.16060319    0.00000039
280    0.16060319    0.00000039
281    0.16060318    0.00000039
282    0.16060318    0.00000039
283    0.16060318    0.00000038
284    0.16060317    0.00000038
285    0.16060317    0.00000038
286    0.16060317    0.00000037
287    0.16060317    0.00000037
288    0.16060316    0.00000037
289    0.16060316    0.00000037
290    0.16060316    0.00000036
291    0.16060316    0.00000036
292    0.16060315    0.00000036
293    0.16060315    0.00000036
294    0.16060315    0.00000035
295    0.16060315    0.00000035
296    0.16060314    0.00000035
297    0.16060314    0.00000035
298    0.16060314    0.00000035
299    0.16060314    0.00000034
300    0.16060313    0.00000034
